name,platform,year_of_release,genre,rating
Hakuoki: Demon of the Fleeting Blossom,PSP,2009,Adventure,M
Disney Planes Fire & Rescue,3DS,2014,Action,
Field & Stream: Total Outdoorsman Challenge,X360,2010,Sports,
Speed Kings,PS2,2003,Racing,E
SpongeBob: HeroPants,X360,2015,Platform,E
Dungeons,PC,2011,Strategy,M
Little League World Series Baseball 2008,Wii,2008,Sports,E
Winter Stars,X360,2011,Sports,E
WRC 5: FIA World Rally Championship,PS3,2015,Sports,
Langrisser V: The End of Legend,SAT,1998,Strategy,
Monster Jam: Path of Destruction,PSP,2010,Racing,E
Bladestorm: The Hundred Years War,X360,2007,Action,T
Ouchi Mainichi Tamagotchi,3DS,2012,Action,
PhotoKano,PSP,2012,Adventure,
Fresh PreCure! Asobi Collection,DS,2009,Action,
Populous: The Beginning,PS,1998,Strategy,
Burnout Paradise: The Ultimate Box,PC,2009,Racing,E10+
Chess,PS,2001,Strategy,
Rosco McQueen: Firefighter Extreme,PS,1997,Action,
Terranigma,SNES,1995,Role-Playing,
Age of Empires II: The Age of Kings,PC,1999,Strategy,T
Johnny Bravo in The Hukka-Mega-Mighty-Ultra-Extreme Date-O-Rama,DS,2009,Action,
Forever Kingdom,PS2,2001,Role-Playing,T
Blitz: Overtime,PSP,2006,Sports,M
Young Justice: Legacy,PS3,2013,Action,T
Altered Beast: Guardian of the Realms,GBA,2002,Action,T
Halo 2,PC,2007,Shooter,M
Medal of Honor: Vanguard,Wii,2007,Shooter,T
Family Party: 30 Great Games,Wii,2008,Misc,E10+
Raven Squad: Operation Hidden Dagger,X360,2009,Shooter,T
The Legend of Heroes: A Tear of Vermillion,PSP,2005,Role-Playing,T
Populous DS,DS,2008,Strategy,E10+
Shining Tears,PS2,2004,Role-Playing,T
MotoGP,X,2002,Racing,E
Scaler,PS2,2004,Platform,E
Gradius V,PS2,2004,Shooter,T
X-COM: UFO Defense,PS,1995,Strategy,
World Cup 98 France: Road to Win,SAT,1998,Sports,
Zero Escape: Zero Time Dilemma,3DS,2016,Adventure,M
MLB SlugFest 20-04,X,2003,Sports,E
Hyperdimension Neptunia Re;Birth 3,PSV,2014,Action,
Barbie and the Magic of Pegasus,GBA,2005,Action,E
Big League Sports: Summer,Wii,2009,Sports,E
UEFA Euro 2016,PS3,2016,Sports,
PAC-MAN and the Ghostly Adventures,3DS,2013,Platform,E10+
Guilty Gear Xrd -Revelator-,PS4,2016,Fighting,
Wordmaster,DS,2008,Strategy,E
Retro Game Challenge (US sales),DS,2007,Action,
SD Gundam G Generation DS,DS,2005,Role-Playing,
SingStar Guitar,PS3,2010,Misc,
Arcania: Gothic 4,X360,2010,Role-Playing,T
Angry Birds: Rio,PC,2011,Puzzle,E
The Smurfs 2,Wii,2013,Platform,E
Bleach: Heat the Soul,PSP,2005,Fighting,
Psychonauts,PS2,2005,Platform,T
World Stadium 5,PS,2001,Sports,
Championship Foosball,Wii,2008,Sports,E
Backyard Sports: Sandlot Sluggers,X360,2010,Sports,E
ESPN NBA 2Night,PS2,2000,Sports,E
Uta no Prince-Sama: Debut,PSP,2012,Adventure,
Galactic Taz Ball,DS,2010,Platform,E
Assassins Creed Chronicles,PS4,2016,Action,T
Freekstyle,GC,2002,Racing,E
Ford Mustang: The Legend Lives,X,2005,Racing,E
Rocket League,PC,2016,Sports,E
Virtua Fighter CG Portrait Series Vol.3: Akira Yuki,SAT,1995,Misc,
Digimon Rumble Arena 2,PS2,2004,Fighting,T
Dora the Explorer: Dora Saves the Crystal Kingdom,PS2,2009,Misc,E
Wolfenstein: The Old Blood,PC,2015,Action,M
Imagine: Reporter,DS,2010,Simulation,E
Shockwave Assault,PS,1995,Simulation,
Ribbit King,PS2,2003,Sports,E
World Championship Poker 2: Featuring Howard Lederer,X,2005,Misc,T
Alien Hominid,GC,2004,Shooter,T
Rygar: The Battle of Argus,Wii,2008,Action,T
Pro Yakyuu Greatest Nine 98,SAT,1998,Sports,
Snood 2: On Vacation,DS,2005,Puzzle,E
Learn Chess,DS,2009,Misc,
Ninja Gaiden Black,X,2005,Action,M
Bogey: Dead 6,PS,1996,Simulation,
Scooby-Doo! Whos Watching Who?,DS,2006,Adventure,
Hakuouki: Zuisouroku Portable,PSP,2010,Adventure,
Puyo Pop Fever (JP sales),DS,2004,Puzzle,
Yu-Gi-Oh! GX: The Beginning of Destiny (US sales),PS2,2007,Strategy,
Dragon Ball Kai: Ultimate Butouden,DS,2011,Fighting,
Shin Megami Tensei,PS,2001,Role-Playing,
Trivial Pursuit unhinged,X,2004,Misc,T
NCAA March Madness 08,PS3,2007,Sports,E
InuYasha: Secret of the Divine Jewel,DS,2007,Role-Playing,E10+
The Revenge of Shinobi,GBA,2002,Platform,E
Bloody Roar 4,PS2,2003,Fighting,M
Lets Ride! Silver Buckle Stables,PS2,2006,Sports,E
The Story of Noahs Ark,DS,2010,Action,
Atari Classics Evolved,PSP,2007,Misc,E
Cabelas Big Game Hunter,GBA,2002,Sports,
I-Ninja,GC,2003,Platform,T
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PS2,2010,Sports,
Dragon Tales: Dragon Seek,PS,2000,Platform,
Yourself Fitness,X,2004,Sports,
Ghostbusters: The Video Game (DS Version),PC,2010,Action,
Tak: The Great Juju Challenge,DS,2005,Platform,E
Invizimals: The Alliance,PSV,2013,Action,E10+
Hyperdimension Idol Neptunia PP,PSV,2013,Misc,
Dance on Broadway,PS3,2011,Misc,E10+
Ultimate Mortal Kombat,DS,2007,Fighting,M
Army Corps of Hell,PSV,2011,Action,M
Resident Evil Chronicles HD,PS3,2012,Shooter,
Return Fire,PS,1996,Strategy,
Wild ARMs: Alter Code F,PS2,2003,Role-Playing,T
Bomberman Max 2: Blue Advance,GBA,2002,Puzzle,E
Mind Quiz,PSP,2006,Action,E
Dead or Alive 5,XOne,2015,Fighting,
Shrek SuperSlam,X,2005,Action,E10+
Alien Monster Bowling League,Wii,2009,Sports,E10+
Rapid Reload,PS,1995,Shooter,
Total Overdose: A Gunslingers Tale in Mexico,PS2,2005,Shooter,M
New Legends,X,2002,Action,T
Island Xtreme Stunts,PS2,2002,Action,E
Agassi Tennis Generation,PS2,2003,Sports,E
I Love Puppies,DS,2010,Simulation,E
Metal Slug X,PS,2001,Shooter,T
Green Lantern: Rise of the Manhunters,Wii,2011,Action,E10+
Running Wild,PS,1997,Racing,
Romance of the Three Kingdoms X,PS2,2005,Strategy,T
Brigandine: The Legend of Forsena,PS,1998,Strategy,
MX SuperFly featuring Ricky Carmichael,GC,2002,Racing,
Disney's The Haunted Mansion,X,2003,Platform,
Sound Novel Machi,SAT,1998,Adventure,
GripShift,PSP,2005,Racing,E
Jenga World Tour,DS,2007,Misc,E
Alvin and the Chipmunks: Chipwrecked,Wii,2011,Misc,E10+
Fighting Fantasy: The Warlock of Firetop Mountain,DS,2009,Role-Playing,T
FIFA 2001: Major League Soccer,PS2,2000,Sports,
The Daring Game for Girls,Wii,2010,Adventure,E
Beowulf: The Game,PSP,2007,Action,M
NHL 2K8,PS3,2007,Sports,E10+
Jikkyou Powerful Pro Yakyuu 14 Ketteiban,PS2,2007,Sports,
Singstar: Ultimate Party,PS3,2014,Misc,
Skies of Arcadia,DC,2000,Role-Playing,T
U-Sing  2,Wii,2010,Misc,
NASCAR: Dirt to Daytona,GC,2002,Racing,E
Demon Chaos,PS2,2005,Action,
Road Trip,PS2,2002,Racing,E
Monopoly Collection,Wii,2011,Misc,E
Blood of Bahamut,DS,2009,Role-Playing,
Digimon All-Star Rumble,PS3,2014,Fighting,E10+
Jimmie Johnsons Anything With an Engine,X360,2011,Racing,E10+
Kawasaki Quad Bikes,Wii,2007,Racing,E
Quiz Magic Academy DS: Futatsu no Jikuu Koku,DS,2010,Misc,
echochrome,PSP,2008,Puzzle,E
Lilie no Atelier: Salburg no Renkinjutsushi 3,PS2,2001,Role-Playing,
Driver: Renegade,3DS,2011,Racing,M
Animal Planet: Vet Life,Wii,2009,Simulation,E
Top Gun: Firestorm Advance,GBA,2002,Shooter,
Project Eden,PS2,2001,Action,T
Riviera: The Promised Land,PSP,2006,Role-Playing,T
Mystery Stories: Curse of the Ancient Spirits,DS,2011,Adventure,E10+
Samurai Shodown Anthology,PSP,2008,Fighting,T
The Smurfs 2,WiiU,2013,Platform,E
Yaiba: Ninja Gaiden Z,PS3,2014,Action,M
Puzzle Chronicles,PSP,2010,Puzzle,E10+
NERF N-Strike: Double Blast Bundle,Wii,2010,Shooter,E10+
Dead or Alive 5,PSV,2013,Fighting,
Castlevania: Lords of Shadow 2,X360,2014,Action,M
Pro Evolution Soccer 2012,PC,2011,Action,
Ghosthunter,PS2,2003,Action,T
Bass Pro Shops: The Hunt,X360,2010,Sports,T
Def Jam Fight For NY: The Takeover,PSP,2006,Action,M
Mimana Iyar Chronicle,PSP,2009,Role-Playing,T
Michael Jackson: The Experience,PSV,2011,Misc,E10+
Seven: Molmorth no Kiheitai,PS2,2000,Action,
Doraemon: Nobita to Midori no Kyojinden DS,DS,2008,Platform,
Hello Kittys Cube Frenzy,PS,1998,Puzzle,
Major League Baseball 2K11,DS,2011,Sports,E
Tom Clancys EndWar,DS,2008,Strategy,T
The Smurfs 2,PS3,2013,Platform,E
Toukiden 2,PS4,2016,Action,
Jikkyou Powerful Pro Yakyuu 9 Ketteiban,PS2,2002,Sports,
JASF: Janes Advanced Strike Fighters,X360,2011,Simulation,T
Astro Boy: Omega Factor,GBA,2003,Action,E
Carnival Games: Wild West 3D,3DS,2011,Misc,E10+
The Wolf Among Us,PS3,2014,Adventure,
Import Tuner Challenge (American sales),X360,2006,Racing,
Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Houdai!,Wii,2010,Misc,
Fullmetal Alchemist: Dual Sympathy,DS,2005,Role-Playing,T
Cardfight!! Vanguard: Ride to Victory,3DS,2013,Misc,
Jikkyou Powerful Pro Yakyuu Portable 2,PSP,2007,Sports,
Kawashima Ryuuta Kyouju Kanshuu Nouryoku Trainer Portable 2,PSP,2006,Misc,
Locks Quest,DS,2008,Strategy,E
Rugby 2005,PS2,2005,Sports,E
The X-Factor,X360,2010,Misc,
Ochaken no Heya DS 2,DS,2007,Simulation,
Ratchet & Clank Future: Quest for Booty,PS3,2008,Platform,
V-Rally Edition 99,N64,1998,Racing,
Castlevania Dracula X,SNES,1995,Platform,
Golden Nugget 64,N64,1998,Misc,
Batman Beyond: Return of the Joker,N64,2000,Action,
Saikyou Habu Shogi,N64,1996,Misc,
Robotron 64,N64,1998,Shooter,
Go Play: City Sports,Wii,2009,Sports,E
Naruto RPG 3: Rejiuu vs Konoha Shoutai,DS,2006,Role-Playing,
Spectral Force Genesis,DS,2008,Role-Playing,T
Tunnel B1,PS,1996,Action,
2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,Platform,
Last Rebellion,PS3,2010,Role-Playing,T
Porsche Challenge,PS,1997,Racing,
Ben 10 Galactic Racing,PS3,2011,Racing,E
Dragon Ball Z: Shin Butouden,SAT,1995,Fighting,
Super Robot Taisen MX Portable,PSP,2005,Strategy,
Space Invaders Extreme,PSP,2008,Shooter,E
Truth or Lies,PS3,2010,Misc,T
Batman: A Telltale Game Series,PS3,2016,Adventure,
Star Wars: Empire at War - Gold Pack,PC,2007,Strategy,
Detana TwinBee Yahho! Deluxe Pack,PS,1995,Shooter,
Shin Ken to Mah? to Gakuenmono. Toki no Gakuen,PSP,2012,Role-Playing,
Romance of the Three Kingdoms 13,PS4,2015,Action,
Quantum Theory,X360,2010,Shooter,M
Uta no Prince-Sama: Music 2,PSP,2013,Adventure,
"Saiyuuki: Kinkaku, Ginkaku no Inbou",DS,2007,Role-Playing,
Tornado Outbreak,PS3,2009,Action,E10+
Bleach: Heat the Soul 6,PSP,2009,Fighting,
Scrabble,PSP,2009,Misc,E
Mugen Keitai Disgaea,PS2,2007,Role-Playing,
Justice League Heroes,DS,2006,Role-Playing,E10+
Space Chimps,Wii,2008,Platform,E10+
Back to the Future: The Game,PS3,2011,Adventure,
Black & White 2,PC,2005,Strategy,
Action Man-Operation Extreme,PS,2000,Action,
Fishing Master World Tour,Wii,2009,Sports,E
Mystic Heroes,GC,2002,Action,T
The Golf Clu,PS4,2014,Sports,E
Pachitte Chonmage Tatsujin 10: Pachinko Fuyu no Sonata,PS2,2007,Misc,
Sega Casino,DS,2005,Misc,T
GRID Autosport,X360,2014,Racing,E
Pro Yaky? Spirits 2014,PSP,2014,Sports,
Defender,X,2002,Misc,T
Captain Tsubasa: Aratanaru Densetsu Joshou,PS,2002,Sports,
Zoids Assault,X360,2007,Strategy,T
World Championship Games: A Track & Field Event,DS,2008,Sports,
Blood: The Last Vampire (Joukan),PS2,2000,Adventure,
Clockwork Knight,SAT,1994,Platform,
Freestyle Metal X,PS2,2003,Racing,T
Shovel Knight,PS4,2015,Platform,E
Sidewinder Max,PS2,2000,Simulation,
Kenka Banchou 2: Full Throttle,PS2,2007,Action,
Karaoke Revolution Presents American Idol Encore 2,X360,2008,Misc,E10+
Transformers: Devastation,PS3,2015,Action,T
Dark Angel: Vampire Apocalypse,PS2,2001,Role-Playing,T
Damnation,PS3,2009,Shooter,M
Momu-chan Diet Wii: Figurobics by Chon Dayon,Wii,2010,Misc,
Junior Mystery Quest,DS,2011,Puzzle,E
Might & Magic Heroes VII,PC,2015,Strategy,
Playmobil Circus,Wii,2009,Action,E
Atelier Totori: The Adventurer of Arland,PSV,2012,Role-Playing,
Deadliest Catch: Sea of Chaos,X360,2010,Sports,E10+
No More Heroes: Red Zone,PS3,2011,Action,
Kurokos Basketball: Ties to Future,3DS,2015,Action,
Super Puzzle Fighter II,GBA,2003,Puzzle,E
The Voice,X360,2014,Action,
Battle Stadium D.O.N,GC,2006,Fighting,
Family GameShow,Wii,2009,Misc,E10+
Pipe Mania,DS,2008,Puzzle,E
Karaoke Revolution Presents American Idol Encore,PS3,2008,Misc,E
Doras Big Birthday Adventure,DS,2010,Misc,E
Raiden Fighters Aces,X360,2008,Shooter,E10+
Crayon Shin-Chan Shokkugan! Densetsu o Yobu Omake Daiketsusen!!,DS,2010,Action,
Kurikin: Nano Island Story,DS,2007,Role-Playing,
Supreme Commander,X360,2008,Strategy,E10+
FIFA Street 3,DS,2008,Sports,E
MotoGP 14 ,X360,2014,Racing,E
Transworld Snowboarding,X,2002,Sports,T
NFL Blitz 20-02,GC,2002,Sports,E
World Soccer Winning Eleven 8 International,X,2004,Sports,E
Sniper Elite,X,2005,Shooter,M
XCOM 2,XOne,2016,Strategy,T
Blazblue: Continuum Shift Extend,PS3,2011,Fighting,T
Scooby-Doo! Unmasked,DS,2005,Platform,
Mahjong Cub3D,3DS,2011,Puzzle,E
Test Drive: Eve of Destruction,X,2004,Racing,T
Crimson Sea,X,2002,Action,T
Naruto Shippuden: Gekito Ninja Taisen! EX 2,Wii,2007,Fighting,
Red Bull BC One,DS,2008,Misc,E
The Weakest Link,PS,2001,Misc,E
Rock Band Country Track Pack 2,Wii,2011,Misc,E10+
Lethal Enforcers,SNES,1993,Shooter,
Viewtiful Joe: Red Hot Rumble,PSP,2006,Action,T
The Mummy: Tomb of the Dragon Emperor,DS,2008,Action,T
Romance of the Three Kingdoms XII,PS3,2012,Strategy,
Ikaruga,GC,2003,Shooter,E
Crysis: Maximum Edition,PC,2009,Shooter,M
The Suffering: Ties That Bind,X,2005,Action,M
MLB Superstars,Wii,2008,Sports,E
Challenge Me: Brain Puzzles 2,DS,2010,Puzzle,E
Reading Training,DS,2007,Misc,
Remington Super Slam Hunting: Alaska,Wii,2011,Sports,T
Nobunagas Ambition: Iron Triangle,PS2,2006,Strategy,E10+
Cake Mania: Main Street,DS,2011,Simulation,E10+
Roary the Racing Car,DS,2009,Misc,
Jikkyou Powerful Pro Yakyuu 2012,PSV,2012,Action,
The Mummy: Tomb of the Dragon Emperor,Wii,2008,Action,T
Harvest Moon: Boy & Girl,PSP,2005,Simulation,
Dreamer Series: Teacher,DS,2009,Simulation,E
Killer Instinct (2013),XOne,2013,Fighting,
Knights in the Nightmare,PSP,2010,Role-Playing,T
Wonder World Amusement Park,DS,2009,Misc,E
Dynasty Warriors 8: Empires,PS3,2014,Action,T
Bejeweled 3,PC,2010,Puzzle,E
Pillow Pets,DS,2011,Adventure,E
Sengoku Basara 4: Sumeragi,PS3,2015,Action,
Shrek Smash n Crash Racing,PSP,2006,Racing,E
Jambo! Safari Animal Rescue,Wii,2009,Simulation,
El Tigre: The Adventures of Manny Rivera,DS,2007,Platform,E
Petz: Saddle Clu,PSP,2009,Simulation,E
Digimon World Re:Digitize Decode,3DS,2013,Role-Playing,
The Amazing Spider-Man (Console Version),WiiU,2013,Action,
Digimon World 4,GC,2005,Role-Playing,E
MLB 2K9 Fantasy All-Stars,DS,2009,Sports,E
Spectral Force 3,X360,2006,Role-Playing,T
Ford Racing 3,X,2004,Racing,E
MLB SlugFest Loaded,X,2004,Sports,T
Sotsugyou Crossworld,PS,1996,Simulation,
Ty the Tasmanian Tiger 3: Night of the Quinkan,GC,2005,Action,E10+
Risen 3: Titan Lords,PC,2014,Role-Playing,M
Ys I & II Chronicles,PSP,2009,Role-Playing,
R: Racing Evolution,X,2003,Racing,T
Bionicle,GBA,2003,Action,E
The Ant Bully,Wii,2006,Platform,E10+
Lost Dimension,PSV,2014,Role-Playing,T
Bleach GC: Tasogare Ni Mamieru Shinigami,GC,2005,Fighting,
Game Hits!,DS,2010,Misc,
Battle Fantasia,X360,2008,Fighting,T
Chou Jigen Game Neptune Mk-II,PS3,2011,Role-Playing,
Jikkyou Powerful Pro Yakyuu 2000 Ketteiban,PS,2000,Sports,
Karaoke Revolution,X,2004,Misc,E
Fire Pro Wrestling Returns,PS2,2005,Sports,T
Obscure: The Aftermath,PSP,2009,Action,M
Henry Hatsworth in the Puzzling Adventure,DS,2009,Puzzle,E
Persona 4: Arena Ultimax,X360,2014,Fighting,T
Jimmy Neutron: Boy Genius,GC,2002,Platform,E
Derby Stallion,SAT,1999,Sports,
Rollcage Stage II,PS,2000,Racing,E
Samurai Warriors 2: Xtreme Legends,PS2,2007,Action,T
Spider-Man: Edge of Time,Wii,2011,Action,T
Sloane to MacHale no Nazo no Monogatari 2,DS,2009,Puzzle,
Karaoke Joysound Wii DX,Wii,2009,Misc,
Just Dance Wii U,WiiU,2014,Misc,
Generator Rex: Agent of Providence,Wii,2011,Action,E10+
Tabi no Yubisashi Kaiwachou DS: DS Series 4 America,DS,2006,Misc,
Invasion From Beyond,PS,1998,Shooter,
Jumper: Griffins Story,Wii,2008,Action,T
Forgotten Realms: Demon Stone,X,2004,Action,T
Rock Band 3,DS,2010,Misc,E10+
Major League Baseball 2K7,PSP,2007,Sports,E
BIT.TRIP COMPLETE,Wii,2011,Misc,E
LEGO Star Wars II: The Original Trilogy,GBA,2006,Action,E
Crash Boom Bang!,DS,2006,Misc,
One Piece: Burning Blood,XOne,2016,Fighting,T
Rugby 15,XOne,2015,Sports,E
Tim Burtons The Nightmare Before Christmas: Oogies Revenge,X,2005,Adventure,E10+
Mahjong Master,N64,1996,Misc,
Royal Palace of White Sword and The City of Gentiles,X,2005,Role-Playing,
Top Gear Rally,GBA,2003,Racing,E
Red Faction: Armageddon,PC,2011,Shooter,M
L: the proLogue to DEATH NOTE - Rasen no Wana,DS,2008,Adventure,
Famicom Mini: Makaimura,GBA,2004,Platform,
XIII,GC,2003,Shooter,M
Inazuma Eleven 3,3DS,2013,Role-Playing,
Data East Arcade Classics,Wii,2010,Misc,T
Ski and Shoot,Wii,2008,Sports,E
Theme Hospital,PS,1998,Strategy,
The Incredibles: Rise of the Underminer,X,2005,Action,E10+
Wizardry: Tale of the Forsaken Land,PS2,2001,Role-Playing,T
ShellShock 2: Blood Trails,X360,2009,Shooter,M
F.E.A.R. Files,X360,2007,Shooter,M
Assassins Creed: Rogue,PC,2015,Action,M
ChuChu Rocket!,GBA,2001,Strategy,
FIFA 12,PS2,2011,Sports,
Codename Tenka,PS,1997,Shooter,
Age of Mythology,PC,2002,Strategy,T
Savage Skies,PS2,2002,Shooter,M
Lara Croft and the Temple of Osiris,PS4,2014,Action,T
Sega Bass Fishing,DC,1999,Sports,
Indianapolis 500 Legends,DS,2007,Racing,E
Walt Disney's The Jungle Book: Rhythm NGroove,PS,2000,Misc,
Cyberia,PS,1995,Action,
Million God,PS2,2002,Misc,
Killer7,PS2,2005,Action,M
The Sims 2: Apartment Life,PC,2008,Simulation,T
Busy Scissors,Wii,2010,Simulation,E
RollerCoaster Tycoon 3: Platinum,PC,2005,Strategy,
The Seven Deadly Sins: Unjust Sin,3DS,2015,Adventure,
Legend of the Guardians: The Owls of GaHoole,PS3,2010,Action,E10+
Brain Voyage,DS,2008,Puzzle,E
Lost Heroes,3DS,2012,Role-Playing,
Astro Boy,PS2,2004,Action,E
Supremacy MMA,PSV,2012,Fighting,
Puss in Boots,PS3,2011,Action,E10+
Wacky World of Sports,Wii,2009,Sports,E10+
Cloudy With a Chance of Meatballs,X360,2009,Platform,E
Wing Commander IV: The Price of Freedom,PS,1997,Simulation,
Monster House,GBA,2006,Adventure,E
Charlottes We,DS,2006,Action,E
MetropolisMania,PS2,2001,Strategy,T
Divinity: Original Sin,XOne,2015,Role-Playing,
Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. The Soulless Army,PS2,2006,Role-Playing,
Bomberman Land Touch!,DS,2006,Puzzle,
Monster Jam: Urban Assault,PSP,2008,Racing,E
My Make-Up,DS,2008,Misc,E
50 Cent: Bulletproof,PSP,2006,Action,
Destroy All Humans! Path of the Furon,PS3,2009,Action,
Princess Maker 2,SAT,1995,Simulation,
NCAA Football 08,X,2007,Sports,E
Ephemeral Fantasia,PS2,2000,Role-Playing,T
SRS: Street Racing Syndicate,GC,2004,Racing,
Grand Kingdom,PS4,2015,Role-Playing,T
Great Party Games,Wii,2010,Misc,
1 vs. 100,DS,2008,Misc,E
Winter Sports 2: The Next Challenge,PS2,2008,Sports,E
God Eater Resurrection,PS4,2015,Action,T
Major League Baseball 2K9,PSP,2009,Sports,E
Aibou DS,DS,2009,Adventure,
Tokimeki Memorial: Taisen Pazurudama,SAT,1996,Puzzle,
Fairy Fencer F: Advent Dark Force,PS4,2015,Role-Playing,T
Beat Sketch!,PS3,2010,Misc,
My Stop Smoking Coach: Allen Carrs EasyWay,DS,2008,Misc,E
Bleach: Heat the Soul 5,PSP,2008,Fighting,
Counter-Strike: Source,PC,2004,Shooter,M
Koudelka,PS,1999,Role-Playing,
Animal Planet: Emergency Vets,DS,2009,Simulation,E
Virtua Fighter CG Portrait Series Vol.2: Jacky Bryant,SAT,1995,Misc,
IHRA Drag Racing: Sportsman Edition,PS2,2006,Racing,E10+
Famicom Mini: Famicom Mukashi Banashi - Shin Oniga Shima Zenkouhen,GBA,2004,Adventure,
Gray Matter,PC,2011,Adventure,T
Ski-Doo Snowmobile Challenge,Wii,2009,Racing,E
Transformers: Devastation,X360,2015,Action,T
Star Wars: Empire at War,PC,2006,Strategy,T
Americas Army: True Soldiers,X360,2007,Shooter,T
Song of the Deep,XOne,2016,Action,E
NASCAR The Game: Inside Line,PS3,2012,Racing,E
Pachitte Chonmage Tatsujin 13: Pachinko Hissatsu Shigotojin III,PS2,2007,Misc,
SingStar: Made In Germany,PS3,2009,Misc,
Wreckin Crew,PS,1998,Racing,
Theme Park,SAT,1994,Simulation,
Famicom Mini: Mario Bros.,GBA,2004,Platform,
RockMan EXE 4.5 Real Operation,GBA,2004,Role-Playing,
Rescue Heroes: Billy Blazes,GBA,2003,Action,
Nikolis Pencil Puzzle,3DS,2011,Puzzle,E
Jaws: Ultimate Predator,Wii,2011,Action,T
Are You Smarter Than a 5th Grader? Back to School,DS,2010,Misc,E
Sega GT Online,X,2003,Racing,T
Frantix,PSP,2005,Puzzle,
Derby Tsuku: Derby Uma o Tsukurou!,DC,2000,Sports,
Knights in the Nightmare,DS,2008,Role-Playing,T
SeaWorld Adventure Parks: Shamus Deep Sea Adventure,GBA,2005,Adventure,
Marvel Nemesis: Rise of the Imperfects,DS,2005,Fighting,E10+
Prisoner of War,X,2002,Adventure,T
Konami Classics Vol. 1,X360,2009,Misc,T
Princess Isabella: A Witchs Curse,DS,2010,Adventure,E
S.C.A.R.S,PS,1998,Racing,
The King of Fighters 98: Dream Match Never Ends,PS,1999,Fighting,
Captain America: Super Soldier,3DS,2011,Action,T
ESPN NFL Primetime 2002,PS2,2001,Sports,E
Agatha Christie: Evil Under the Sun,Wii,2008,Adventure,T
Zoids: Legacy,GBA,2003,Role-Playing,E
Kidou Senshi Gundam 00,DS,2008,Action,
Nano Assault,3DS,2011,Shooter,E10+
Onimusha Tactics,GBA,2003,Strategy,T
Bomberman Jetters,GC,2002,Puzzle,E
How to Train Your Dragon 2,WiiU,2014,Adventure,E10+
TOCA Race Driver 3,PS2,2006,Racing,E10+
Thomas & Friends: Hero of the Rails,DS,2010,Misc,
Angry Birds Star Wars,PSV,2013,Strategy,E
Mad Dog McCree: Gunslinger Pack,Wii,2009,Shooter,T
Blacksite: Area 51,PS3,2007,Shooter,T
Deadliest Catch: Sea of Chaos,PS3,2010,Sports,E10+
Pac-Man Power Pack,PS2,2008,Misc,E
Disney's Donald Duck: Goin Quackers,PS2,2000,Platform,E
Ultimate Brain Games,GBA,2003,Misc,E
Charm Girls Club: My Fashion Show,DS,2009,Simulation,E
Exit,PSP,2005,Puzzle,E
Armorines: Project S.W.A.R.M.,PS,2000,Shooter,
Gundam Seed: Battle Assault,GBA,2004,Fighting,
Harvey Birdman: Attorney at Law,Wii,2008,Adventure,T
Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,SNES,1991,Misc,
SaGa 3: Jikuu no Hasha - Shadow or Light,DS,2011,Role-Playing,
Edna & Harvey: Harveys New Eyes,PC,2011,Adventure,
The Secret Saturdays: Beasts of the 5th Sun,DS,2009,Action,E10+
Aliens versus Predator: Extinction,X,2003,Strategy,T
Famicom Mini: Adventure Island,GBA,2004,Action,
RTX Red Rock,PS2,2003,Shooter,T
Tokimeki Memorial: Girls Side,PS2,2002,Adventure,
FIFA Street 2,X,2006,Sports,E
Smart Bom,PSP,2005,Puzzle,E10+
Dark Souls III,PC,2016,Role-Playing,M
Shining Force: Resurrection of the Dark Dragon,GBA,2004,Role-Playing,T
Shining Soul II,GBA,2003,Role-Playing,E
Orega Kantoku Da! Gekitou Pennant Race,PS2,2000,Sports,
Guilty Gear XX Accent Core Plus,PSP,2008,Fighting,T
Hello Kitty: Roller Rescue,GC,2005,Action,E
Jikkyou Powerful Pro Yakyuu 12,GC,2005,Sports,
Metal Slug Advance,GBA,2004,Shooter,T
Pac-Man World Rally,GC,2006,Racing,E
BlazBlue Central Fiction,PS3,2016,Fighting,T
Gradius Galaxies,GBA,2001,Shooter,E
Just Dance: Disney Party 2,WiiU,2015,Action,E
Blazing Angels: Squadrons of WWII,X,2006,Simulation,T
Mortal Kombat Kollection,PS2,2008,Fighting,M
NHL 2K7,X360,2006,Sports,E10+
LEGO Soccer Mania,PS2,2002,Sports,E
Blades of Blood: Samurai Shodown III,PS,1995,Fighting,
Don King Boxing,DS,2009,Sports,T
Air Conflicts: Secret Wars,X360,2011,Simulation,T
The Bachelor: The Videogame,DS,2010,Misc,T
Gundam the 3D Battle,3DS,2011,Action,
Face Racers: Photo Finish,3DS,2011,Racing,E
Miami Nights: Singles in the City,DS,2008,Simulation,T
Godzilla Generations,DC,1998,Action,
Strider 2,PS,2000,Platform,E
Forbidden Siren 2,PS2,2006,Action,
Board Game Classics,GBA,2005,Misc,E
Pro Evolution Soccer 2013,PC,2012,Sports,E
Midnight Play! Pack,DS,2008,Misc,
101-in-1 Sports Megamix,DS,2010,Sports,E10+
